absolute_magnitude,est_dia_in_km_max,epoch_date_close_approach,relative_velocity_km_per_hr,miss_dist_astronomical,orbit_uncertainity,minimum_orbit_intersection,epoch_osculation,eccentricity,semi_major_axis,inclination,asc_node_longitude,perihelion_distance,mean_anomaly,hazardous
26.989,0.0237815402,793440000000,25790.9330143395,0.2115968709,7,0.0071428,2458000.5,0.3179061258474021,1.03436766129103,4.008314775490596,322.7144944711469,0.705535845388161,92.63701924370051,False
19.3,0.8204270649,794649600000,48874.689520897,0.3507449112,0,0.00132059,2458000.5,0.1902842554038815,1.189560559495507,5.883903317829792,251.5911063365942,0.9632059141740799,154.0217068187274,True
22.6,0.1794898848,794649600000,41293.0729588648,0.0517703658,0,0.0341962,2458000.5,0.4282526106821032,1.234937694057483,5.850410278034516,151.2892418885367,0.7060724025476296,178.6926558391438,False
23.8,0.1032856481,794649600000,42950.3131091804,0.0975441157,0,0.052677,2455882.5,0.3864587856542614,0.7629744336180587,20.83376792025673,352.9223651783215,0.4681162605167759,203.652258647551,False
28.6,0.0113250461,794649600000,35546.9153827062,0.1466999837,6,0.00220111,2458000.5,0.2299595839786057,1.176188921427005,1.990548431564578,336.8735046974825,0.905713006375406,157.6102089911095,False
21.2,0.3420109247,794649600000,57379.3457833544,0.1729029027,6,0.0667857,2458000.5,0.4373989530511649,1.442414905197316,24.56842188077443,151.7319137192872,0.8115041357986146,317.5623087461238,False
22.8,0.1636967205,794649600000,42265.4885399758,0.3331832833,6,0.0452308,2458000.5,0.513906570440738,0.8653553647152513,6.812692898480357,64.12627502627186,0.4206435570219426,140.1980046848551,False
23.8,0.1032856481,794649600000,42950.2029249665,0.0975437554,0,0.0515902,2456125.5,0.3864450668773289,0.7629535011587539,20.83340836762825,352.9209234711133,0.468113884379167,203.0327732060237,False
23.6,0.1132504611,795254400000,13816.8603514779,0.0864847003,0,0.0231683,2458000.5,0.1755281002971447,1.085053919527081,1.499707987243189,143.9720934468935,0.8945964663125213,343.2780837648182,False
19.8,0.6516883822,795859200000,52742.1858542341,0.49345027,0,0.00864628,2458000.5,0.6596701710312648,1.039069958449247,1.660280612530236,211.1661458545495,0.3536265012455829,339.0708464948791,True
21.7,0.2716689341,795859200000,27053.5512844418,0.4991803786,0,0.072723,2458000.5,0.1806949354384842,1.298712853884236,2.883848267500705,42.7745945849694,1.064042018598494,282.4479213473536,False
20.1,0.5675968529,795859200000,51778.1562725826,0.4209661835,0,0.286119,2458000.5,0.6085291129034922,1.067729565398203,19.76609421451883,228.3483095782694,0.4179850401456034,203.2544790124766,False
19.9,0.6223575734,795859200000,59537.6973600401,0.3724623296,0,0.00632801,2458000.5,0.2001586683140727,1.225054256082759,23.76674096359197,157.1413506175398,0.9798490275727472,196.5243824380092,True
27.4,0.0196806745,795859200000,26420.9069973864,0.071064889,7,0.00184403,2458000.5,0.2216354711934581,1.149622484484153,7.430785914533306,330.7831998198386,0.894825363440914,144.1965902347316,False
23.9,0.0986370281,795859200000,38158.5373419197,0.3935150166,5,0.110326,2458000.5,0.2254849824771856,1.408325755715618,8.113962312011777,158.2260557876106,1.090769447365912,164.561870327472,False
26.9,0.0247765013,795859200000,82168.6631087621,0.4729642584,7,0.00602602,2458000.5,0.2997332703803507,0.8416315805242635,10.27694002800109,171.1772580572293,0.5893665944383424,87.3399513801906,False
21.424,0.3084892103,795859200000,73347.2003754896,0.2243809656,6,0.0890355,2458000.5,0.1478846210086852,1.235912132943166,39.40701510140626,356.5439054824789,1.05313973556283,90.33855226043312,False
17.3,2.0608196123,797324400000,82657.2597742512,0.086732912,0,0.0591071,2458000.5,0.7766438887734538,2.26319603381811,9.064507173740575,352.6914107643232,0.5054986650569561,191.4543290913346,False
26.5,0.0297879063,797324400000,27059.2638778848,0.2360511039,1,0.00576149,2458000.5,0.01394849751423765,0.988667858326567,4.320908199813253,264.4056022167966,0.9748774271622922,58.24402434197092,False
18.8,1.0328564805,797324400000,77525.044157425,0.4674758318,1,0.264451,2458000.5,0.4445997797497422,2.250574629195569,40.07490632410602,190.8023227140372,1.249969644744861,217.6120228280012,False
28.15,0.0139328506,797324400000,48932.0385761632,0.3228583667,4,4.42295e-5,2458000.5,0.1458940283310568,1.033210407631443,3.174319580769291,10.44411032877468,0.8824711791485181,224.3796113696917,False
20.8,0.411187571,797929200000,29476.3894326732,0.3826167269,2,0.0497576,2458000.5,0.2962061287988718,1.052079402640927,7.906473496389842,128.8405407963474,0.7404470355956286,109.0655767033018,True
25.6,0.0450858206,797929200000,50728.3313784829,0.2689702852,7,0.024568,2458000.5,0.1986104067958223,0.8633230890356343,15.29060134113289,18.63948790340435,0.691858139126041,197.2654367936369,False
25.4,0.0494356193,797929200000,40318.2037961903,0.2328691339,5,0.0053862,2458000.5,0.177454625327355,0.8693364318543375,1.86779849136472,150.0050896869119,0.7150686610562064,114.0409109070574,False
19.4,0.7835017643,798534000000,33497.5158818422,0.0362417486,1,0.0215286,2457800.5,0.1290438595815365,1.061197120692007,15.08972042172532,215.4436355173162,0.924256148461097,301.4816144786948,True
